,writers,hits,hits_grade,count
1,中青在线,174,11.6,1
55,机械传动国家重点实验室,240,16.0,1
65,汽车工程学院,14038,21.76434108527132,43
17,医学部,1334,22.233333333333334,4
66,法学院,54546,22.727500000000003,160
86,继续教育学院,61021,23.246095238095236,175
106,高等教育研究所,352,23.466666666666665,1
76,社区工作办公室,11645,23.525252525252526,33
92,药学院,32594,23.618840579710145,92
45,张馨尹,1070,23.77777777777778,3
75,社会科学学部,1467,24.45,4
30,外国语学院,31052,24.644444444444446,84
67,滕博文,1495,24.916666666666668,4
91,艺术学院,25496,24.99607843137255,68
4,体育学院,27915,25.14864864864865,74
99,资源与安全学院,96423,25.40790513833992,253
71,生命科学学院,29160,25.57894736842105,76
102,附属肿瘤医院,27060,26.144927536231883,69
98,资产经营有限责任公司,16211,26.359349593495935,41
40,工程科教战略研究中心,3217,26.808333333333334,8
19,博雅学院,52975,26.959287531806616,131
51,数学与统计学院,17980,27.242424242424242,44
28,土木工程学院,218675,27.402882205513784,532
32,大数据与软件学院,128610,27.74757281553398,309
10,光电工程学院,87773,27.86444444444444,210
93,蒲纯,838,27.933333333333334,2
12,公共管理学院,45444,28.05185185185185,108
39,工程科教战略中心,424,28.266666666666666,1
78,离退休工作处,47590,28.327380952380953,112
52,新闻学院,83590,28.57777777777778,195
84,经济与工商管理学院,122840,28.634032634032632,286
16,化学化工学院,116886,28.75424354243542,271
107,黄云鑫,436,29.066666666666666,1
13,出版社,9231,29.304761904761904,21
81,管理科学与房地产学院,204891,29.312017167381974,466
31,大学科技园办公室,20819,29.530496453900707,47
95,计划财务处,8872,29.573333333333334,20
46,微电子与通信工程学院,42690,30.27659574468085,94
89,自动化学院,49716,30.407339449541283,109
64,档案馆,19712,30.56124031007752,43
96,计算机学院,105915,30.83406113537118,229
56,机械工程学院,132988,31.439243498817966,282
42,建筑城规学院,102514,31.494316436251918,217
79,科协秘书处,85667,31.72851851851852,180
90,航空航天学院,50638,31.847798742138366,106
88,能源与动力工程学院,70505,33.335697399527184,141
103,陈沁寒,502,33.46666666666667,1
7,信息学部,4022,33.516666666666666,8
94,虎溪校区管理委员会,65230,33.973958333333336,128
72,生物工程学院,72963,34.49787234042553,141
44,弘深学院,25473,34.65714285714286,49
69,环境与生态学院,70725,34.92592592592593,135
74,研究生院,131065,36.10606060606061,242
23,吴艳玲,548,36.53333333333333,1
105,马克思主义学院,93274,36.578039215686275,170
38,工程学部,43251,36.96666666666667,78
73,电气工程学院,84764,37.17719298245614,152
100,重庆大学-辛辛那提大学联合学院,41408,37.30450450450451,74
33,学工部,76123,37.59160493827161,135
97,谢东毅,2267,37.78333333333333,4
27,图书馆,128283,38.17946428571429,224
34,学生职业发展与就业指导中心,131288,39.60422322775264,221
14,分析测试中心,1828,40.62222222222223,3
87,美视电影学院,13026,41.352380952380955,21
6,信息化办公室,12469,41.56333333333334,20
85,统战部,39905,41.567708333333336,64
3,人文学部,6967,42.224242424242426,11
68,物理学院,34477,42.5641975308642,54
29,基建规划处,12798,42.66,20
58,材料科学与工程学院,118583,42.73261261261261,185
41,廖文娟,3911,43.455555555555556,6
60,杨柳,657,43.8,1
54,机关党委,48070,43.89954337899543,73
59,杨杰,698,46.53333333333333,1
5,保卫部,59166,48.696296296296296,81
35,实验室及设备管理处,14868,52.16842105263158,19
22,后勤管理处,53240,52.97512437810945,67
8,傅桢晗,2406,53.46666666666667,3
9,先进技术研究院,22794,56.28148148148148,27
26,国际学院,16146,56.65263157894737,19
43,建筑学部,6832,56.93333333333333,8
62,校工会,22447,59.858666666666664,25
36,审计处,2795,62.11111111111111,3
49,教师教学发展中心,29049,64.55333333333333,30
50,教育基金会秘书处,21480,68.19047619047619,21
48,教务处,104523,68.3156862745098,102
61,校团委,232324,71.70493827160495,216
24,国内合作办公室,56000,73.20261437908496,51
83,组织部,57453,78.16734693877552,49
82,纪委办公室,32867,78.2547619047619,28
77,社科处,115512,82.80430107526881,93
25,国际处,91476,87.11999999999999,70
11,党委办公室,123859,89.75289855072464,92
57,李映雪,1356,90.4,1
80,科学技术发展研究院,119440,90.48484848484848,88
2,人事处,76583,91.17023809523809,56
15,前沿交叉学科研究院,29355,93.19047619047619,21
101,闫涵,1415,94.33333333333333,1
18,医学高等研究院,37291,99.44266666666667,25
104,饶品,1762,100.0,1
0,ICT中心,3401,100.0,2
63,校长办公室,122355,100.0,54
47,房地产管理处,2076,100.0,1
37,宣传部,712891,100.0,344
21,发展规划处,25266,100.0,9
20,发展研究中心,7582,100.0,5
70,理学部,15220,100.0,7
53,无名氏,293631,100.0,149
